hotelName,month,DayInWeek,diffDays,price,Company,Description
"Comfort Inn & Suites JFK Airport",11,1,33,445.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,2,34,465.0,Comfort Inn,D
"Comfort Inn & Suites JFK Airport",11,2,34,465.0,Comfort Inn,D
"Comfort Inn & Suites JFK Airport",11,2,27,464.0,Comfort Inn,B
"Comfort Inn & Suites JFK Airport",11,3,21,489.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",11,3,28,468.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,3,28,468.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,4,22,489.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",11,4,29,463.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,4,29,463.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,5,16,489.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",11,5,16,489.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",11,5,30,463.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,6,17,489.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",11,6,17,489.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",11,6,31,463.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,7,32,454.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,7,32,454.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,7,32,454.0,Comfort Inn,A
"Mandarin Oriental New York",10,1,12,5122.0,"Mandarin Oriental New York",D
"Mandarin Oriental New York",10,5,9,4361.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",10,6,10,4404.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",10,7,11,4574.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,1,33,3380.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,1,33,3380.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,1,33,3380.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,2,34,3180.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,2,34,3180.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,2,34,3180.0,"Mandarin Oriental New York",E
"Mandarin Oriental New York",11,3,28,4780.0,"Mandarin Oriental New York",D
"Mandarin Oriental New York",11,4,29,5780.0,"Mandarin Oriental New York",B
"Mandarin Oriental New York",11,5,30,5780.0,"Mandarin Oriental New York",C
"Mandarin Oriental New York",11,6,31,5580.0,"Mandarin Oriental New York",C
"Mandarin Oriental New York",11,7,32,4580.0,"Mandarin Oriental New York",A
"Hotel Bliss",10,1,5,568.0,"Hotel Bliss",E
"Hotel Bliss",10,1,5,568.0,"Hotel Bliss",E
"Hotel Bliss",10,2,6,593.0,"Hotel Bliss",E
"Hotel Bliss",10,2,6,593.0,"Hotel Bliss",E
"Hotel Bliss",10,3,7,618.0,"Hotel Bliss",E
"Hotel Bliss",10,4,1,618.0,"Hotel Bliss",E
"Hotel Bliss",10,4,1,618.0,"Hotel Bliss",E
"Hotel Bliss",10,5,2,618.0,"Hotel Bliss",E
"Hotel Bliss",10,5,2,618.0,"Hotel Bliss",E
"Hotel Bliss",10,6,3,618.0,"Hotel Bliss",E
"Hotel Bliss",10,6,3,618.0,"Hotel Bliss",E
"Hotel Bliss",10,7,4,593.0,"Hotel Bliss",E
"Hotel Bliss",10,7,4,593.0,"Hotel Bliss",E
"Hotel Bliss",11,1,33,568.0,"Hotel Bliss",E
"Hotel Bliss",11,1,33,568.0,"Hotel Bliss",E
"Hotel Bliss",11,1,33,568.0,"Hotel Bliss",E
"Hotel Bliss",11,2,34,593.0,"Hotel Bliss",E
"Hotel Bliss",11,2,34,593.0,"Hotel Bliss",E
"Hotel Bliss",11,2,34,593.0,"Hotel Bliss",E
"Hotel Bliss",11,3,21,618.0,"Hotel Bliss",E
"Hotel Bliss",11,3,21,618.0,"Hotel Bliss",E
"Hotel Bliss",11,3,21,618.0,"Hotel Bliss",E
"Hotel Bliss",11,4,22,618.0,"Hotel Bliss",E
"Hotel Bliss",11,4,22,618.0,"Hotel Bliss",E
"Hotel Bliss",11,4,22,618.0,"Hotel Bliss",E
"Hotel Bliss",11,5,16,618.0,"Hotel Bliss",E
"Hotel Bliss",11,5,16,618.0,"Hotel Bliss",E
"Hotel Bliss",11,5,16,618.0,"Hotel Bliss",E
"Hotel Bliss",11,6,17,618.0,"Hotel Bliss",E
"Hotel Bliss",11,6,17,618.0,"Hotel Bliss",E
"Hotel Bliss",11,6,17,618.0,"Hotel Bliss",E
"Hotel Bliss",11,7,32,593.0,"Hotel Bliss",E
"Hotel Bliss",11,7,32,593.0,"Hotel Bliss",E
"Hotel Bliss",11,7,32,593.0,"Hotel Bliss",E
"W New York - Downtown",10,1,5,999.0,"W New York - Downtown",E
"W New York - Downtown",10,1,5,999.0,"W New York - Downtown",E
"W New York - Downtown",10,2,6,1222.0,"W New York - Downtown",A
"W New York - Downtown",10,2,6,1222.0,"W New York - Downtown",A
"W New York - Downtown",10,3,7,1294.0,"W New York - Downtown",E
"W New York - Downtown",10,4,8,1276.0,"W New York - Downtown",E
"W New York - Downtown",10,5,2,1127.0,"W New York - Downtown",E
"W New York - Downtown",10,5,2,1127.0,"W New York - Downtown",E
"W New York - Downtown",10,6,3,980.0,"W New York - Downtown",E
"W New York - Downtown",10,6,3,980.0,"W New York - Downtown",E
"W New York - Downtown",10,7,4,999.0,"W New York - Downtown",E
"W New York - Downtown",10,7,4,999.0,"W New York - Downtown",E
"W New York - Downtown",11,1,33,904.0,"W New York - Downtown",E
"W New York - Downtown",11,1,33,904.0,"W New York - Downtown",E
"W New York - Downtown",11,1,33,904.0,"W New York - Downtown",E
"W New York - Downtown",11,2,34,922.0,"W New York - Downtown",A
"W New York - Downtown",11,2,34,922.0,"W New York - Downtown",A
"W New York - Downtown",11,2,34,922.0,"W New York - Downtown",A
"W New York - Downtown",11,3,21,2130.0,"W New York - Downtown",A
"W New York - Downtown",11,3,28,1378.0,"W New York - Downtown",A
"W New York - Downtown",11,3,28,1378.0,"W New York - Downtown",A
"W New York - Downtown",11,4,22,1860.0,"W New York - Downtown",E
"W New York - Downtown",11,4,29,1018.0,"W New York - Downtown",E
"W New York - Downtown",11,4,29,1018.0,"W New York - Downtown",E
"W New York - Downtown",11,5,16,1908.0,"W New York - Downtown",E
"W New York - Downtown",11,5,23,1708.0,"W New York - Downtown",E
"W New York - Downtown",11,5,30,904.0,"W New York - Downtown",E
"W New York - Downtown",11,6,17,2034.0,"W New York - Downtown",D
"W New York - Downtown",11,6,24,1668.0,"W New York - Downtown",D
"W New York - Downtown",11,6,31,904.0,"W New York - Downtown",E
"W New York - Downtown",11,7,32,904.0,"W New York - Downtown",E
"W New York - Downtown",11,7,32,904.0,"W New York - Downtown",E
"W New York - Downtown",11,7,32,904.0,"W New York - Downtown",E
"NYLO New York City",10,1,5,1095.0,"NYLO New York City",E
"NYLO New York City",10,1,5,1095.0,"NYLO New York City",E
"NYLO New York City",10,2,6,1315.0,"NYLO New York City",E
"NYLO New York City",10,2,6,1315.0,"NYLO New York City",E
"NYLO New York City",10,3,7,1475.0,"NYLO New York City",E
"NYLO New York City",10,4,1,1065.0,"NYLO New York City",E
"NYLO New York City",10,4,1,1065.0,"NYLO New York City",E
"NYLO New York City",10,5,2,795.0,"NYLO New York City",E
"NYLO New York City",10,5,2,795.0,"NYLO New York City",E
"NYLO New York City",10,6,3,745.0,"NYLO New York City",E
"NYLO New York City",10,6,3,745.0,"NYLO New York City",E
"NYLO New York City",10,7,4,945.0,"NYLO New York City",E
"NYLO New York City",10,7,4,945.0,"NYLO New York City",E
"NYLO New York City",11,1,33,693.0,"NYLO New York City",E
"NYLO New York City",11,1,33,693.0,"NYLO New York City",E
"NYLO New York City",11,1,33,693.0,"NYLO New York City",E
"NYLO New York City",11,2,34,812.0,"NYLO New York City",E
"NYLO New York City",11,2,34,812.0,"NYLO New York City",E
"NYLO New York City",11,2,34,812.0,"NYLO New York City",E
"NYLO New York City",11,3,21,1619.0,"NYLO New York City",E
"NYLO New York City",11,3,28,897.0,"NYLO New York City",E
"NYLO New York City",11,3,28,897.0,"NYLO New York City",E
"NYLO New York City",11,4,22,1449.0,"NYLO New York City",E
"NYLO New York City",11,4,29,880.0,"NYLO New York City",E
"NYLO New York City",11,4,29,880.0,"NYLO New York City",E
"NYLO New York City",11,5,16,1714.0,"NYLO New York City",A
"NYLO New York City",11,5,23,1279.0,"NYLO New York City",E
"NYLO New York City",11,5,30,863.0,"NYLO New York City",E
"NYLO New York City",11,6,17,1687.0,"NYLO New York City",A
"NYLO New York City",11,6,24,1118.0,"NYLO New York City",E
"NYLO New York City",11,6,31,846.0,"NYLO New York City",E
"NYLO New York City",11,7,32,786.0,"NYLO New York City",E
"NYLO New York City",11,7,32,786.0,"NYLO New York City",E
"NYLO New York City",11,7,32,786.0,"NYLO New York City",E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,1,5,625.0,Fairfield Inn,A
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,1,5,625.0,Fairfield Inn,A
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,2,6,667.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,2,6,667.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,3,7,693.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,4,1,753.0,Fairfield Inn,D
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,4,8,702.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,5,2,694.0,Fairfield Inn,D
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,5,2,694.0,Fairfield Inn,D
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,6,3,663.0,Fairfield Inn,C
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,6,3,663.0,Fairfield Inn,C
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,7,4,632.0,Fairfield Inn,B
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",10,7,4,632.0,Fairfield Inn,B
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,1,33,634.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,1,33,634.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,1,33,634.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,2,34,679.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,2,34,679.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,2,34,679.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,3,21,1039.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,3,28,778.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,3,28,778.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,4,22,958.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,4,29,715.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,4,29,715.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,5,16,976.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,5,23,895.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,5,30,688.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,6,17,994.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,6,24,895.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,6,31,679.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,7,32,652.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,7,32,652.0,Fairfield Inn,E
"Fairfield Inn & Suites New York Queens/Queensboro Bridge",11,7,32,652.0,Fairfield Inn,E
"InterContinental - New York Times Square",10,1,5,1290.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,1,5,1290.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,2,6,1480.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,2,6,1480.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,3,7,1662.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,4,1,1423.0,"InterContinental - New York Times Square",A
"InterContinental - New York Times Square",10,4,1,1423.0,"InterContinental - New York Times Square",A
"InterContinental - New York Times Square",10,5,2,1189.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,5,2,1189.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,6,3,1122.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,6,3,1122.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,7,4,1270.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",10,7,4,1270.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,1,33,1258.0,"InterContinental - New York Times Square",D
"InterContinental - New York Times Square",11,1,33,1258.0,"InterContinental - New York Times Square",D
"InterContinental - New York Times Square",11,1,33,1258.0,"InterContinental - New York Times Square",D
"InterContinental - New York Times Square",11,2,34,1241.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,2,34,1241.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,2,34,1241.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,3,21,2913.0,"InterContinental - New York Times Square",B
"InterContinental - New York Times Square",11,3,28,1759.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,3,28,1759.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,4,22,2509.0,"InterContinental - New York Times Square",B
"InterContinental - New York Times Square",11,4,29,1691.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,4,29,1691.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,5,16,3087.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,5,23,2248.0,"InterContinental - New York Times Square",A
"InterContinental - New York Times Square",11,5,30,1623.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,6,17,3036.0,"InterContinental - New York Times Square",C
"InterContinental - New York Times Square",11,6,24,2041.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,6,31,1555.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,7,32,1445.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,7,32,1445.0,"InterContinental - New York Times Square",E
"InterContinental - New York Times Square",11,7,32,1445.0,"InterContinental - New York Times Square",E
"Hilton Garden Inn New York-Times Square Central",10,1,5,879.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",10,1,5,879.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",10,2,6,1015.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",10,2,6,1015.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",10,3,7,1091.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",10,4,1,1297.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",10,4,8,1086.0,Hilton,C
"Hilton Garden Inn New York-Times Square Central",10,5,2,1045.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",10,5,9,1015.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",10,6,3,833.0,Hilton,C
"Hilton Garden Inn New York-Times Square Central",10,6,3,833.0,Hilton,C
"Hilton Garden Inn New York-Times Square Central",10,7,4,920.0,Hilton,B
"Hilton Garden Inn New York-Times Square Central",10,7,4,920.0,Hilton,B
"Hilton Garden Inn New York-Times Square Central",11,1,33,823.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",11,1,33,823.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",11,1,33,823.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",11,2,34,787.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,2,34,787.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,2,34,787.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,3,21,1982.0,Hilton,B
"Hilton Garden Inn New York-Times Square Central",11,3,28,1253.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",11,3,28,1253.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",11,4,22,1794.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,4,29,1238.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,4,29,1238.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,5,16,2062.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,5,23,1659.0,Hilton,C
"Hilton Garden Inn New York-Times Square Central",11,5,30,1297.0,Hilton,A
"Hilton Garden Inn New York-Times Square Central",11,6,17,1973.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",11,6,24,1407.0,Hilton,B
"Hilton Garden Inn New York-Times Square Central",11,6,31,1203.0,Hilton,D
"Hilton Garden Inn New York-Times Square Central",11,7,32,917.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",11,7,32,917.0,Hilton,E
"Hilton Garden Inn New York-Times Square Central",11,7,32,917.0,Hilton,E
"The Mansfield Hotel",10,1,5,843.0,"The Mansfield Hotel",C
"The Mansfield Hotel",10,1,5,843.0,"The Mansfield Hotel",C
"The Mansfield Hotel",10,2,6,1097.0,"The Mansfield Hotel",D
"The Mansfield Hotel",10,2,6,1097.0,"The Mansfield Hotel",D
"The Mansfield Hotel",10,3,7,1227.0,"The Mansfield Hotel",C
"The Mansfield Hotel",10,4,1,1172.0,"The Mansfield Hotel",A
"The Mansfield Hotel",10,4,1,1172.0,"The Mansfield Hotel",A
"The Mansfield Hotel",10,5,2,931.0,"The Mansfield Hotel",B
"The Mansfield Hotel",10,5,2,931.0,"The Mansfield Hotel",B
"The Mansfield Hotel",10,6,3,886.0,"The Mansfield Hotel",B
"The Mansfield Hotel",10,6,3,886.0,"The Mansfield Hotel",B
"The Mansfield Hotel",10,7,4,956.0,"The Mansfield Hotel",E
"The Mansfield Hotel",10,7,4,956.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,1,33,796.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,1,33,796.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,1,33,796.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,2,34,796.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,2,34,796.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,2,34,796.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,3,21,1478.0,"The Mansfield Hotel",D
"The Mansfield Hotel",11,3,28,1316.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,3,28,1316.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,4,22,1502.0,"The Mansfield Hotel",C
"The Mansfield Hotel",11,4,29,1212.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,4,29,1212.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,5,16,1999.0,"The Mansfield Hotel",C
"The Mansfield Hotel",11,5,23,1527.0,"The Mansfield Hotel",B
"The Mansfield Hotel",11,5,30,1108.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,6,17,1914.0,"The Mansfield Hotel",B
"The Mansfield Hotel",11,6,24,1469.0,"The Mansfield Hotel",B
"The Mansfield Hotel",11,6,31,1004.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,7,32,900.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,7,32,900.0,"The Mansfield Hotel",E
"The Mansfield Hotel",11,7,32,900.0,"The Mansfield Hotel",E
"Holiday Inn - Long Island City - Manhattan View",10,1,5,580.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,1,5,580.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,2,6,628.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,2,6,628.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,3,7,652.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,4,1,624.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,4,1,624.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,5,2,592.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,5,2,592.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,6,3,567.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,6,3,567.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,7,4,564.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",10,7,4,564.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,1,33,636.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,1,33,636.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,1,33,636.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,2,34,668.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,2,34,668.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,2,34,668.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,3,21,900.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,3,28,700.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,3,28,700.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,4,22,836.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,4,29,684.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,4,29,684.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,5,16,836.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,5,23,796.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,5,30,668.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,6,17,844.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,6,24,764.0,"Holiday Inn - Long Island City - Manhattan View",E
"Holiday Inn - Long Island City - Manhattan View",11,6,31,668.0,"Holiday Inn - Long Island City - Manhattan View",E
